N,Hilos,n,media_us,mediana_us,std_us,speedup,eficiencia
1000,1,7,492859.0,493927.0,3100.2858393564757,1.0,1.0
1000,4,7,131413.0,132085.0,1836.3416271022588,3.739463224438808,0.934865806109702
1000,8,7,101810.28571428571,101047.0,2275.3100080325453,4.888091680109256,0.611011460013657
1000,16,7,91793.57142857143,92415.0,2468.271393803645,5.34466266298761,0.33404141643672564
1000,20,7,92299.28571428571,92304.0,1283.4286350337093,5.351089876928411,0.26755449384642055
2000,1,7,5013693.714285715,5011130.0,13168.25054780611,1.0,1.0
2000,4,7,2409662.1428571427,2377100.0,49381.83953765239,2.1080854823103783,0.5270213705775946
2000,8,7,1416702.0,1405359.0,31381.605604011314,3.565729468413409,0.44571618355167614
2000,16,7,1356074.0,1359483.0,43143.27087408053,3.6860556549806067,0.23037847843628792
2000,20,7,2412853.0,2452806.0,357244.19503591256,2.04301930115957,0.1021509650579785
3040,1,7,30305802.85714286,30316236.0,746491.8026516583,1.0,1.0
3040,4,7,15533407.142857144,15522273.0,296604.98304860847,1.9530796810492896,0.4882699202623224
3040,8,7,14089606.714285715,13991443.0,185478.9396090289,2.1667697892204543,0.2708462236525568
3040,16,7,14616861.42857143,14557574.0,286093.26880275406,2.0825060549237118,0.13015662843273199
3040,20,7,14455435.714285715,14483162.0,370479.6476093869,2.0932056135255546,0.10466028067627772
4040,1,7,284422680.0,125746959.0,371997337.04812115,1.0,1.0
4040,4,7,41722150.571428575,42176214.0,1284996.951970466,2.981466259631554,0.7453665649078886
4040,8,7,32221657.14285714,32302369.0,1590085.5629295486,3.8928091930347275,0.48660114912934094
4040,16,7,32487693.85714286,32711369.0,798536.2446454187,3.8441362389938494,0.24025851493711559
4040,20,7,35480607.0,36020381.0,1031113.1216135862,3.4909946954753197,0.17454973477376598
5040,1,3,315868366.0,237442445.0,114006492.788575,1.0,1.0
